rank,node_id,coord,node_type_norm,current_alliance,owner_server,server_side,frontline_group,risk_score,risk_level,risk_reason,recommended_action,confidence,memo_short
1,#534:c-10,c-10,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:11:39 / #534 X:449 Y:249 Lv.2都市 / 攻撃側 #476[476C] / 防衛側 #53…
2,#534:c-8,c-8,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:13:53 / #534 X:349 Y:249 Lv.2都市 / 攻撃側 #476[476C] / 防衛側 #53…
3,#534:d-12,d-12,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:02:15 / #534 X:549 Y:349 Lv.3都市 / 攻撃側 #476[476B] / 防衛側 #53…
4,#534:d-14,d-14,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:04:34 / #534 X:649 Y:349 Lv.3都市 / 攻撃側 #476[476B] / 防衛側 #53…
5,#534:d-10,d-10,city,,none,destroyed,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊OCR IMG_1433.PNG / 2026/05/30 12:07:03 / #534 X:449 Y:349 Lv.3都市 / 攻撃側 #476…
6,#534:d-8,d-8,city,,none,destroyed,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊OCR IMG_1432.PNG / 2026/05/30 12:03:03 / #534 X:349 Y:349 Lv.3都市 / 攻撃側 #476…
7,#534:e-14,e-14,city,,none,destroyed,frontline_adjacent,145,critical,city +30; destroyed_flag +100; frontline_adjacent +15,破壊済み確認,high,都市破壊OCR IMG_1432.PNG / 2026/05/30 12:03:15 / #534 X:649 Y:449 Lv.3都市 / 攻撃側 #476…
8,#534:c-12,c-12,city,,none,destroyed,other,130,critical,city +30; destroyed_flag +100,破壊済み確認,high,都市破壊OCR IMG_1433.PNG / 2026/05/30 12:04:53 / #534 X:549 Y:249 Lv.2都市 / 攻撃側 #476…
