node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
中央:中央-14-4,中央,中央-14-4,祭壇,unknown,174,324,SHA,534,manual_override,self,attack_allowed,manual,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,SHA,0,medium,FALSE,FALSE,,1795,2026-05-31T14:21:08+09:00,
中央:中央-15-9,中央,中央-15-9,祭壇,unknown,424,274,fIrE,,unknown,unknown,unknown,,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,fIrE,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1796,2026-05-31T14:21:08+09:00,
中央:中央-16-9,中央,中央-16-9,祭壇,unknown,424,224,BAJ,440,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,BAJ,0,medium,FALSE,FALSE,,1797,2026-05-31T14:21:08+09:00,
中央:中央-6-11,中央,中央-6-11,祭壇,unknown,524,724,KTVS,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,KTVS,0,medium,FALSE,FALSE,,1798,2026-05-31T14:21:08+09:00,
中央:中央-6-5,中央,中央-6-5,祭壇,unknown,224,724,476Z,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,476Z,0,medium,TRUE,FALSE,,1799,2026-05-31T14:21:08+09:00,
中央:中央-8-5,中央,中央-8-5,祭壇,unknown,224,624,ALj,,unknown,unknown,unknown,,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,ALj,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1800,2026-05-31T14:21:08+09:00,
中央:中央-8-6,中央,中央-8-6,祭壇,unknown,274,624,GcC,,unknown,unknown,unknown,,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,GcC,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1801,2026-05-31T14:21:08+09:00,
中央:中央-15-16,中央,中央-15-16,祭壇,unknown,774,274,MtG,,unknown,unknown,unknown,,active,owned,2026/05/26 23:30,,safe_time_missing,2026/05/26 23:30,MtG,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1802,2026-05-31T14:21:08+09:00,
中央:中央-15-6,中央,中央-15-6,祭壇,unknown,274,274,NBNH,,unknown,unknown,unknown,,active,owned,2026/05/26 23:30,,safe_time_missing,2026/05/26 23:30,NBNH,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1803,2026-05-31T14:21:08+09:00,
中央:中央-17-10,中央,中央-17-10,祭壇,unknown,474,174,SsQ,509,alliance_alias,ally,attack_allowed,manual,active,owned,2026/05/26 23:30,,safe_time_missing,2026/05/26 23:30,SsQ,0,medium,FALSE,FALSE,,1804,2026-05-31T14:21:08+09:00,
