node_id,owner_server,owner_alliance,affiliation,acquired_at_jst,source,confidence,last_confirmed_at,last_event_id,status,note
#523:E-19,,K4TR,unknown,2026/05/22 4:34,legacy_management_table,medium,2026/05/22 4:34,,active,OCR IMG_0559.PNG / #523 X:899 Y:399 Lv.1 / 中立/未登録 -> K4TR
#523:C-17,,5DU,unknown,2026/05/22 4:11,legacy_management_table,medium,2026/05/22 4:11,,active,OCR IMG_0558.PNG / #523 X:799 Y:199 Lv.2 / 中立/未登録 -> 5DU
#523:B-13,,EDFS,unknown,2026/05/22 3:59,legacy_management_table,medium,2026/05/22 3:59,,active,OCR IMG_0557.PNG / #523 X:599 Y:99 Lv.1 / 中立/未登録 -> EDFS
#523:B-11,,u3o,unknown,2026/05/21 23:41,legacy_management_table,medium,2026/05/21 23:41,,active,OCR IMG_0551.PNG / #523 X:499 Y:99 Lv.1 / 中立/未登録 -> u3o
#523:A-13,,K4TR,unknown,2026/05/21 23:25,legacy_management_table,medium,2026/05/21 23:25,,active,OCR IMG_0550/0551.PNG / #523 X:599 Y:20 Lv.1 / 中立/未登録 -> K4TR
#523:B-9,,EDFS,unknown,2026/05/21 23:15,legacy_management_table,medium,2026/05/21 23:15,,active,OCR IMG_0549.PNG / #523 X:399 Y:99 Lv.1 / 中立/未登録 -> EDFS
#523:C-9,,u3o,unknown,2026/05/21 17:16,legacy_management_table,medium,2026/05/21 17:16,,active,OCR IMG_0534.PNG / #523 X:399 Y:199 Lv.2 / 中立/未登録 -> u3o
#523:J-17,#476,476Z,unknown,2026/05/28 4:14,legacy_management_table,medium,2026/05/28 4:14,,active,Dropbox赤字OCR IMG_1302.PNG / #523 X:799 Y:899 Lv.1 漁場 / WUG -> 476Z
#523:H-19,,EDFS,unknown,2026/05/29 4:46,legacy_management_table,medium,2026/05/29 4:46,,active,Dropbox赤字OCR IMG_1336.PNG / #523 X:899 Y:699 Lv.1 漁場 / WUG -> EDFS
#523:K-21,#476,476Z,unknown,2026/05/21 12:36,legacy_management_table,medium,2026/05/21 12:36,,active,OCR IMG_0531.PNG / #523 X:978 Y:978 Lv.1 / 中立/未登録 -> 476Z
#523:I-17,,NBNH,unknown,2026/05/21 12:30,legacy_management_table,medium,2026/05/21 12:30,,active,OCR IMG_0530.PNG / #523 X:799 Y:799 Lv.2 / 中立/未登録 -> NBNH
#523:C-7,,EDFS,unknown,2026/05/21 4:44,legacy_management_table,medium,2026/05/21 4:44,,active,OCR IMG_0501.PNG / #523 X:299 Y:199 Lv.2 / 中立/未登録→EDFS
#523:B-1,,EDFS,unknown,2026/05/21 3:43,legacy_management_table,medium,2026/05/21 3:43,,active,OCR IMG_0499.PNG / #523 X:20 Y:99 Lv.1
#523:C-19,,5DU,unknown,2026/05/21 3:16,legacy_management_table,medium,2026/05/21 3:16,,active,OCR IMG_0495.PNG / #523 X:899 Y:199 Lv.1 / 5DU維持
#523:E-3,,u3o,unknown,2026/05/21 2:37,legacy_management_table,medium,2026/05/21 2:37,,active,OCR IMG_0492.PNG / #523 X:99 Y:399 Lv.1 / 中立/未登録→u3o
#523:g-6,,u3o,unknown,2026/05/21 2:19,legacy_management_table,medium,2026/05/21 2:19,,active,OCR IMG_0490.PNG / #523 X:249 Y:649 Lv.2 / u3o維持
#523:f-8,,u3o,unknown,2026/05/21 2:11,legacy_management_table,medium,2026/05/21 2:11,,active,OCR IMG_0489.PNG / #523 X:349 Y:549 Lv.3 / 中立/未登録→u3o
#523:e-14,,NBNH,unknown,2026/05/21 0:05,legacy_management_table,medium,2026/05/21 0:05,,active,OCR IMG_0477.PNG / #523 X:649 Y:449 Lv.3
#523:f-14,,NBNH,unknown,2026/05/21 0:00,legacy_management_table,medium,2026/05/21 0:00,,active,OCR IMG_0476.PNG / #523 X:649 Y:549 Lv.3 / 中立/未登録→NBNH
#523:g-12,,WUG,unknown,2026/05/21 0:00,legacy_management_table,medium,2026/05/21 0:00,,active,OCR IMG_0476.PNG / #523 X:549 Y:649 Lv.3
#523:g-14,,WUG,unknown,2026/05/20 23:55,legacy_management_table,medium,2026/05/20 23:55,,active,OCR IMG_0475.PNG / #523 X:649 Y:649 Lv.3
#523:c-8,,K4TR,unknown,2026/05/20 23:51,legacy_management_table,medium,2026/05/20 23:51,,active,OCR IMG_0474.PNG / #523 X:349 Y:249 Lv.2
#523:d-10,,K4TR,unknown,2026/05/20 23:39,legacy_management_table,medium,2026/05/20 23:39,,active,OCR IMG_0471.PNG / #523 X:449 Y:349 Lv.3
#523:I-9,,fIrE,unknown,2026/05/20 23:39,legacy_management_table,medium,2026/05/20 23:39,,active,OCR IMG_0471.PNG / #523 X:399 Y:799 Lv.2
#523:A-19,,K4TR,unknown,2026/05/20 23:22,legacy_management_table,medium,2026/05/20 23:22,,active,OCR IMG_0468.PNG / #523 X:899 Y:20 Lv.1
#523:e-8,,EDFS,unknown,2026/05/20 23:13,legacy_management_table,medium,2026/05/20 23:13,,active,OCR IMG_0463.PNG / #523 X:349 Y:449 Lv.3 / EDFS維持
#523:J-11,#476,476M,unknown,2026/05/20 23:13,legacy_management_table,medium,2026/05/20 23:13,,active,OCR IMG_0463.PNG / #523 X:499 Y:978 Lv.1
#523:A-7,,K4TR,unknown,2026/05/20 6:18,legacy_management_table,medium,2026/05/20 6:18,,active,OCR IMG_0377.PNG / #523 X:299 Y:20 Lv.1 / K4TR維持
#523:C-1,,EDFS,unknown,2026/05/20 5:11,legacy_management_table,medium,2026/05/20 5:11,,active,OCR IMG_0376.PNG / #523 X:20 Y:199 Lv.1 / EDFS維持
#523:D-1,,EDFS,unknown,2026/05/20 5:11,legacy_management_table,medium,2026/05/20 5:11,,active,OCR IMG_0375.PNG / #523 X:20 Y:299 Lv.1
#523:B-19,,K4TR,unknown,2026/05/20 0:00,legacy_management_table,medium,2026/05/20 0:00,,active,OCR IMG_0467.PNG / #523 X:899 Y:99 Lv.1 / 時刻OCR要確認 / 読取要確認
#523:e-4,,EDFS,unknown,2026/05/20 0:00,legacy_management_table,medium,2026/05/20 0:00,,active,OCR IMG_0465.PNG / #523 X:149 Y:449 Lv.1 / 時刻OCR要確認 / 読取要確認
#523:g-8,,fIrE,unknown,2026/05/20 0:00,legacy_management_table,medium,2026/05/20 0:00,,active,OCR IMG_0464.PNG / #523 X:349 Y:649 Lv.3 / 時刻OCR要確認 / 読取要確認
#523:A-1,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-10,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-12,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-14,,,unknown,,legacy_management_table,low,,,unknown,
#523:A-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-16,,,unknown,,legacy_management_table,low,,,unknown,
#523:A-17,,5DU,unknown,2026/05/28 6:30,legacy_management_table,medium,2026/05/28 6:30,,active,Dropbox赤字OCR IMG_1303.PNG / #523 X:799 Y:20 Lv.1 漁場 / 中立/未登録 -> 5DU / 最初の連盟
#523:a-18,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:A-21,,,unknown,,legacy_management_table,low,,,unknown,
#523:A-3,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-4,,,unknown,,legacy_management_table,low,,,unknown,
#523:A-5,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-6,,,unknown,,legacy_management_table,low,,,unknown,
#523:a-8,,,unknown,,legacy_management_table,low,,,unknown,
#523:A-9,,,unknown,,legacy_management_table,low,,,unknown,
#523:b-10,,K4TR,unknown,2026/05/31 5:50,legacy_management_table,medium,2026/05/31 5:50,,active,Dropbox赤字OCR IMG_1458.PNG / #523 X:449 Y:149 Lv.1 湿地の村 / 中立/未登録 -> K4TR / 種別は都市に正規化 / 最初の連盟
#523:b-14,,,unknown,,legacy_management_table,low,,,unknown,
#523:B-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:b-16,,,unknown,,legacy_management_table,low,,,unknown,
#523:B-17,,5DU,unknown,2026/05/28 6:25,legacy_management_table,medium,2026/05/28 6:25,,active,Dropbox赤字OCR IMG_1303.PNG / #523 X:799 Y:99 Lv.1 漁場 / 中立/未登録 -> 5DU
#523:b-18,,,unknown,,legacy_management_table,low,,,unknown,
#523:b-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:B-21,,,unknown,,legacy_management_table,low,,,unknown,
#523:B-3,,,unknown,,legacy_management_table,low,,,unknown,
#523:b-4,,,unknown,,legacy_management_table,low,,,unknown,
#523:B-5,,,unknown,,legacy_management_table,low,,,unknown,
#523:B-7,,,unknown,,legacy_management_table,low,,,unknown,
#523:b-8,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-10,,,unknown,,legacy_management_table,low,,,unknown,
#523:C-11,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-12,,,unknown,,legacy_management_table,low,,,unknown,
#523:C-13,,,unknown,,legacy_management_table,low,,,unknown,
#523:C-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-16,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-18,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:C-3,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-4,,,unknown,,legacy_management_table,low,,,unknown,
#523:c-6,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-11,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-12,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-13,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-14,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-15,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-16,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-17,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-18,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-19,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-2,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-3,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-4,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-6,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-7,,,unknown,,legacy_management_table,low,,,unknown,
#523:d-8,,,unknown,,legacy_management_table,low,,,unknown,
#523:D-9,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-1,,,unknown,,legacy_management_table,low,,,unknown,
#523:e-10,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-11,,,unknown,,legacy_management_table,low,,,unknown,
#523:e-12,,,unknown,,legacy_management_table,low,,,unknown,
#523:E-13,,,unknown,,legacy_management_table,low,,,unknown,
