owner_alliance,inferred_server,directory_server,directory_match_type,node_count,area_counts,node_type_counts,sample_node_ids,sample_node_labels,current_affiliation,reason
u3o,,,none,14,"{""#523"":8,""#511"":5,""中央"":1}","{""漁場"":9,""都市"":4,""祭壇"":1}",#511:B-7;#511:A-5;#511:D-5;#511:B-3;#511:A-3;#523:f-4;#523:f-6;#523:E-17,B-7;A-5;D-5;B-3;A-3;f-4;f-6;E-17,unknown,missing_from_pacts
R6q,,,none,13,"{""#476"":12,""#523"":1}","{""漁場"":11,""都市"":2}",#476:C-15;#476:E-15;#476:D-21;#476:c-20;#476:C-17;#476:D-15;#476:D-17;#476:C-19,C-15;E-15;D-21;c-20;C-17;D-15;D-17;C-19,unknown,missing_from_pacts
noI,,,none,13,"{""#534"":11,""#509"":2}","{""漁場"":9,""都市"":4}",#509:I-1;#509:J-1;#534:F-21;#534:g-18;#534:G-19;#534:G-21;#534:h-16;#534:h-18,I-1;J-1;F-21;g-18;G-19;G-21;h-16;h-18,unknown,missing_from_pacts
PmP,,,none,12,"{""#480"":6,""中央"":6}","{""漁場"":9,""都市"":2,""祭壇"":1}",#480:C-5;#480:D-1;#480:E-1;#480:e-4;#480:d-4;#480:D-3;中央:中央-12-17;中央:中央-17-19,C-5;D-1;E-1;e-4;d-4;D-3;中央-12-17;中央-17-19,unknown,missing_from_pacts
UMN,,,none,12,"{""#503"":5,""#509"":5,""中央"":2}","{""漁場"":9,""祭壇"":2,""交易地"":1}",#503:K-1;#503:I-13;#503:H-13;#503:j-2;#503:J-3;#509:K-13;#509:H-19;#509:I-19,K-1;I-13;H-13;j-2;J-3;K-13;H-19;I-19,unknown,missing_from_pacts
xjR,,,none,12,"{""#503"":5,""#509"":4,""中央"":3}","{""漁場"":6,""都市"":3,""祭壇"":3}",#503:H-3;#503:i-12;#503:i-10;#503:I-11;#503:g-12;#509:H-21;#509:H-5;#509:I-3,H-3;i-12;i-10;I-11;g-12;H-21;H-5;I-3,unknown,missing_from_pacts
DOLU,,,none,11,"{""#440"":11}","{""漁場"":8,""都市"":3}",#440:C-5;#440:C-7;#440:C-9;#440:b-12;#440:b-14;#440:C-11;#440:D-15;#440:C-13,C-5;C-7;C-9;b-12;b-14;C-11;D-15;C-13,unknown,missing_from_pacts
eXt,,,none,11,"{""#509"":11}","{""漁場"":8,""都市"":3}",#509:D-1;#509:B-7;#509:B-9;#509:b-4;#509:B-5;#509:E-1;#509:F-1;#509:f-4,D-1;B-7;B-9;b-4;B-5;E-1;F-1;f-4,unknown,missing_from_pacts
kOi,,,none,11,"{""#534"":11}","{""漁場"":6,""都市"":5}",#534:f-2;#534:E-5;#534:d-2;#534:e-2;#534:E-3;#534:F-1;#534:F-3;#534:f-4,f-2;E-5;d-2;e-2;E-3;F-1;F-3;f-4,unknown,missing_from_pacts
sbM,,,none,11,"{""#511"":11}","{""漁場"":7,""都市"":4}",#511:e-16;#511:G-15;#511:F-15;#511:E-17;#511:F-17;#511:G-19;#511:d-16;#511:A-13,e-16;G-15;F-15;E-17;F-17;G-19;d-16;A-13,unknown,missing_from_pacts
