node_id,coord,node_type_norm,current_alliance,status_norm,protection_status,safe_until_jst,frontline_group,server_side,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note
#509:J-17,J-17,fishery,fzn,owned,safe_time_missing,,other,enemy,TRUE,FALSE,10,50,mid,fishery +10; enemy_flag +40
#509:h-12,h-12,city,MOn,owned,safe_time_missing,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#509:h-14,h-14,city,MOn,owned,safe_time_missing,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#509:d-4,d-4,city,tWD,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#509:E-3,E-3,fishery,tWD,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#509:F-5,F-5,fishery,tWD,owned,safe_time_missing,,other,ally,FALSE,FALSE,10,10,low,fishery +10
#509:c-4,c-4,city,tWD,owned,safe_time_missing,,other,ally,FALSE,FALSE,30,30,mid,city +30
#509:d-14,d-14,city,FHX,owned,safe_time_missing,,frontline_core,ally,FALSE,FALSE,30,60,high,city +30; frontline_core +30
#509:e-14,e-14,city,FHX,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#509:F-13,F-13,fishery,SsQ,owned,safe_time_missing,,other,ally,FALSE,FALSE,10,10,low,fishery +10
#509:e-8,e-8,city,SsQ,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
#509:d-8,d-8,city,VEX,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15
