row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
76,ツナ缶食べ隊,240,273.94,,9_50M以上～55M未満,,戦,,53,,エンジニア,True,True,large_total_delta,IMG_2561.PNG,IMG_2571.PNG,1.0,1.0,戦車53mエンジニア
77,SÜPRĒMŌ,239.63,,,,戦,,50.5,,エンジニア,,False,False,,,,,,
78,呷八覇,238.07,,,,,,,,,,False,False,,,,,,
79,Boss B,236.71,,,,,,,,,,False,False,,,,,,
80,Shamshie,235.05,,9_50M以上～55M未満,,戦,,50.63,,エンジニア,,False,False,,,,,,
81,Wolveress23,235.03,253.46,,9_50M以上～55M未満,航,航,51.7,54,エンジニア,エンジニア,True,True,,IMG_2560.PNG,IMG_2568.PNG,1.0,0.957,54M aircraft. Engineer
82,PHL Pjia,232.33,232.12,,9_50M以上～55M未満,,戦,,51.78,,エンジニア,True,True,,IMG_2561.PNG,IMG_2571.PNG,1.0,1.0,51.78 tank engineer AN
83,K18footballer,223.8,228.94,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,50.17,51.71,エンジニア,エンジニア,True,True,,IMG_2560.PNG,IMG_2573.PNG,1.0,1.0,戦車51.71M私エンジニア AN
84,LERROYYYY,221.73,,,,,,,,,,False,False,,,,,,
85,ATLANTIC HALO,216.73,262.8,a_50M未満,9_50M以上～55M未満,戦,戦,49.8,51.34,エンジニア,エンジニア,True,True,large_total_delta,IMG_2559.PNG,IMG_2565.PNG,1.0,0.96,戦車51.34MAエンジニア LT
86,Jinstars,216.18,,,,,,,,,,False,False,,,,,,
87,へ亟へ,215.71,,,,,,,,,,False,False,,,,,,
88,ぷるPuru,212.06,268.7,8_55M以上〜58M未満,7_58M以上〜60M未満,戦,戦,55.8,58.7,指導者,,True,True,large_total_delta,IMG_2557.PNG,IMG_2573.PNG,1.0,1.0,戦車58.7M指導 品
89,桃nagareda,211.96,,,,,,,,,,False,False,,,,,,
90,レッチャ,201.58,207.64,,a_50M未満,戦,,46.21,,エンジニア,,True,True,,IMG_2563.PNG,,1.0,,
91,Sunnouk,201.37,,,,,,,,,,False,False,,,,,,
92,PHL Sai,196.85,,,,,,,,,,False,False,,,,,,
93,pecten,178.49,208.2,a_50M未満,a_50M未満,戦,戦,44.4,45.4,エンジニア,エンジニア,True,True,large_total_delta,IMG_2562.PNG,IMG_2568.PNG,1.0,0.923,戦車45.4Mエンジニア
94,OLDヤンガス,177.14,214.88,a_50M未満,a_50M未満,戦,戦,46.17,47.79,エンジニア,エンジニア,True,True,large_total_delta,IMG_2563.PNG,IMG_2564.PNG,1.0,0.933,戦車47.79Mエンジニア
95,ひでとん9120,176.26,,,,,,,,,,False,False,,,,,,
96,DeveshS,172.93,183.75,,a_50M未満,,,,,,,True,True,,IMG_2563.PNG,,1.0,,
97,youuuuri,168.02,187.57,a_50M未満,a_50M未満,戦,,43.02,,エンジニア,,True,True,,IMG_2562.PNG,,0.933,,
