image,option,band,raw_name,matched_name,match_score,power_raw,total_m,name_conf,power_conf
IMG_2507.PNG,1,1_80M以上,K'auiil,K’awiil,1.0,428415917,428.42,0.30,1.00
IMG_2507.PNG,1,1_80M以上,sSi103,ssi103,1.0,457954848,457.95,0.30,0.50
IMG_2507.PNG,1,1_80M以上,渋猫選手！,渋猫選手R,1.0,367104306,367.1,0.30,1.00
IMG_2509.PNG,2,2_75M以上〜80M未満,Maーー,Maーー,1.0,350893120,350.89,0.30,1.00
IMG_2509.PNG,2,2_75M以上〜80M未満,RAMETI VU,Rameπ vu,1.0,355877806,355.88,0.30,0.50
IMG_2509.PNG,2,2_75M以上〜80M未満,Revo GARO,Revo GARO,1.0,371854338,371.85,0.30,0.50
IMG_2508.PNG,2,2_75M以上〜80M未満,Revo Geruge,Revo Geruge,1.0,382452522,382.45,0.50,0.50
IMG_2508.PNG,2,2_75M以上〜80M未満,RevoLove！,RevoLoveR,1.0,366107374,366.11,0.30,1.00
IMG_2508.PNG,2,2_75M以上〜80M未満,レバブル子,まったり子,1.0,369675066,369.68,1.00,0.50
IMG_2508.PNG,2,2_75M以上〜80M未満,黒猫 nuda,黒猫 nuda,1.0,362898045,362.9,0.50,1.00
IMG_2511.PNG,3,3_70M以上〜75M未満,CHIKO un,CHIKO un,1.0,352699765,352.7,0.50,1.00
IMG_2510.PNG,3,3_70M以上〜75M未満,GinjirouR,GinjirouR,1.0,314705300,314.71,0.30,1.00
IMG_2511.PNG,3,3_70M以上〜75M未満,Hirogeo %e,Hirogeo R,0.824,307477890,307.48,0.30,1.00
IMG_2510.PNG,3,3_70M以上〜75M未満,RevosHOBoRe,RevoSHoBoR,1.0,340259321,340.26,0.30,1.00
IMG_2510.PNG,3,3_70M以上〜75M未満,naphtha Pho,naphtha PhD,1.0,334715175,334.72,0.50,1.00
IMG_2511.PNG,3,3_70M以上〜75M未満,かえるchan！,かえるChanR,1.0,336700910,336.7,0.30,0.50
IMG_2511.PNG,3,3_70M以上〜75M未満,マリオ mario,マリオ mario,1.0,347597362,347.6,0.30,0.50
IMG_2510.PNG,3,3_70M以上〜75M未満,馬券師もつお,馬券師もつお,1.0,346508563,346.51,1.00,1.00
IMG_2513.PNG,4,4_65M以上〜70M未満,BCCR,BCCR,1.0,330772080,330.77,0.30,0.50
IMG_2512.PNG,4,4_65M以上〜70M未満,Revo nikoora,Revo nikoora,1.0,316336874,316.34,0.50,1.00
IMG_2512.PNG,4,4_65M以上〜70M未満,S0L265,SOL265,1.0,355476204,355.48,0.30,1.00
IMG_2512.PNG,4,4_65M以上〜70M未満,TONKUN,TONKUN,1.0,337294462,337.29,1.00,0.50
IMG_2514.PNG,4,4_65M以上〜70M未満,カラトリ君,カラトリ君,1.0,274291200,274.29,1.00,1.00
