image,raw_name,matched_name,match_score,comment_text,form,first_m,job
IMG_2529.PNG,JATLANTIC HALO,ATLANTIC HALO,0.96,戦車51.07M私エンジニア,戦,51.07,エンジニア
IMG_2531.PNG,JAyuMiN,AyuMiN,0.923,戦車64Mエンジニア,戦,64,エンジニア
IMG_2538.PNG,JBCCッ,BCCR,1.0,BCC 戦車67.12M ENGINEER,戦,67.12,エンジニア
IMG_2537.PNG,JCHIKO un,CHIKO un,0.933,戦車 73.7M,戦,73.7,
IMG_2532.PNG,jPaoETあつし,DaoETあつし,0.824,64.06M私エンジニア,,64.06,エンジニア
IMG_2530.PNG,夏天de圏,DeveshS,0.333,61.5航空 工程,航,61.5,エンジニア
IMG_2529.PNG,GOLDEN FREEZA,GOLDEN FREEZA,1.0,戦車57.48Mエンジニア,戦,57.48,エンジニア
IMG_2535.PNG,GinjirouR,GinjirouR,1.0,71.1Mエンジニア,,71.1,エンジニア
IMG_2530.PNG,Hirogeo 9,Hirogeo R,0.875,戦車71.27m 指導者,戦,71.27,指導者
IMG_2537.PNG,JK' auil,K’awiil,1.0,航空87.29M 戦争指導者,航,87.29,指導者
IMG_2530.PNG,LA 49,LA 49,1.0,Tanke + mankol E6 1QM,戦,,
IMG_2536.PNG,Maー一ピ,Maーー,1.0,航空77.04M 指導者の,航,77.04,指導者
IMG_2536.PNG,JOLDヤンガス,OLDヤンガス,0.933,戦車47.50Mエンジニア,戦,47.5,エンジニア
IMG_2539.PNG,PHLpjia圏,PHL Pjia,0.933,戦車51.56M私エンジニア,戦,51.56,エンジニア
IMG_2534.PNG,Pe-suke.外 図,Pe-sukeR,1.0,ルシ戦車63.2Mエンジニア,戦,63.2,エンジニア
IMG_2532.PNG,JRAMETT VU,RAMETT vu,0.941,ロケラン79.5M指導者,ロ,79.5,指導者
IMG_2535.PNG,Revo GARO,Revo GARO,1.0,ロケラン79.21指導者,ロ,79.21,指導者
IMG_2542.PNG,Revo Geruge,Revo Geruge,1.0,ロケラン76.15Mエンジニア,ロ,76.15,エンジニア
IMG_2534.PNG,Revo nikoora,Revo nikoora,1.0,ロケラン65.4Mエンジニア,ロ,65.4,エンジニア
IMG_2541.PNG,Revo nutswa,Revo nutswa,0.889,戦車60Mエンジニア,戦,60,エンジニア
IMG_2530.PNG,JRevo 鷲力,Revo 鷹R,1.0,洗車57.1Mエンジニア,,57.1,エンジニア
IMG_2535.PNG,RevoLove,RevoLoveR,1.0,航空マギ77.26M 指導者 A）,航,77.26,指導者
IMG_2537.PNG,RevosHoBo.f,RevoSHoBoR,0.9,戦車70.9Mエンジニア,戦,70.9,エンジニア
IMG_2540.PNG,IRirico .沢,RiricoR,1.0,戦車：61.09M エンジニア,戦,61.09,エンジニア
IMG_2538.PNG,50L265,SOL265,1.0,マーフィー航空 68M エンジニア,航,68,エンジニア
IMG_2541.PNG,SPOZOT,SPD20T,1.0,戦車63.6Mエンジニア,戦,63.6,エンジニア
IMG_2540.PNG,Shamshie,Shamshie,1.0,"51.70M tank, engineer",戦,51.7,エンジニア
IMG_2536.PNG,JSUPREMO,SÜPRĒMŌ,1.0,52m tank. leader,戦,52,指導者
IMG_2531.PNG,JTONKUN,TONKUN,0.923,戦車66.56M エンジニア,戦,66.56,エンジニア
IMG_2533.PNG,Wolveress23,Wolveress23,1.0,53.5M aircraft. engineer,航,53.5,エンジニア
IMG_2537.PNG,YOSAKOI,YOSAKOI,1.0,戦車エンジニア57.9 41,戦,57.9,エンジニア
IMG_2540.PNG,himペよ星,himoぺよ星,1.0,戦車58.4mエンジニア AN,戦,58.4,エンジニア
IMG_2533.PNG,Jhiro628,hiro628,0.933,tank58.8M engineer,戦,58.8,エンジニア
IMG_2538.PNG,kaaaaat,kaaaaat,1.0,54.6 tank engineer,戦,54.6,エンジニア
IMG_2529.PNG,Jnaphtha Pho,naphtha PhD,0.857,航空72.56M エンジニア,航,72.56,エンジニア
IMG_2539.PNG,jpecten,pecten,0.923,戦車45.2M私エンジニア,戦,45.2,エンジニア
IMG_2539.PNG,sakimaru,sakimaru,1.0,戦車64.38Mエンジニア,戦,64.38,エンジニア
IMG_2529.PNG,ssi103,ssi103,1.0,=87M 指導者,,87,指導者
IMG_2533.PNG,jtorsoboy0o図,torsoboy00,1.0,60.48 tank engineer,戦,60.48,エンジニア
IMG_2534.PNG,youuuuri,youuuuri,1.0,戦車43.57M エンジニア,戦,43.57,エンジニア
IMG_2535.PNG,あつないみ,あつないR,1.0,戦車62.04M engineer,戦,62.04,エンジニア
IMG_2541.PNG,いたちごっこ,いたちごっこR,0.923,¥164.6指導者 A,,64.6,指導者
IMG_2531.PNG,かえるchan./,かえるChanR,0.875,航空72.5指導者,航,72.5,指導者
