key,coord,row,previous_owner,previous_acquired_at,x,y,video_mentions,evidence_frame,event_time_raw,source_text
#534:b-18,b-18,1634,W6f,2026/06/13 23:33,849,149,16,frame_0363,2026-6-20 20:09:03,"#476[4762]が#534[u6領有中のLV.1都市 #534(849,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 2026-6-20 20:09:03 #480[BgNa]が#440[Gcc]領有中のLV.1都市"
#534:c-18,c-18,1642,sg3,,849,249,16,frame_0332,2026-6-17 20:21:45,"#476[476K]が#534[5g3領有中のL.1都市 #534(849,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-17 20:21:45 #523[fIrE]が#534領有中のLV.1都市#534(349,949)を"
#534:e-4,e-4,1678,nO9,,149,449,16,frame_0348,2026-6-20 12:18:15,"#476[476d]が#534[n09]領有中のLV.1都市 #534(149,449)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-20 12:18:15 #534[KTVS」が#523[50U]領有中のLV.1都市#523(49,549)を"
#534:f-18,f-18,1688,JDX,2026/06/03 23:04,849,549,20,frame_0297,2026-6-13 20:23:17,"#503[Bye」が#534[DX]領有中のLV.1都市#534(849,549)を 攻撃し、陣営のために破壊宝箱＊を勝ち取りました 2026-6-13 20:23:17 #523[5DU]が#440[WoW3]領有中のL.1都市 #440(549,49)を攻撃し、陣営のために破壊宝箱x2を勝"
#534:g-16,g-16,1566,89M,2026/06/03 23:55,749,649,20,frame_0331,2026-6-17 20:21:01,"#503[fzn]が#534[89M]領有中のL.2都市#534(749,649)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-6-17 20:21:01 #476[476k]が#534[5g3]領有中のL.1都市 #534(849,249)を攻撃し、陣営のために破壊宝額xを勝"
#534:h-16,h-16,1712,89M,2026/06/03 23:49,749,749,16,frame_0293,2026-6-13 12:51:15,"#503[xjR]が#534[89M]領有中のLv.2都市#534(749,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-6-13 12:51:15 #476[476B]が#440[Gcc]領有中のLV.3都市 #440(449,349)を攻撃し、陣営のために破壊宝箱＊10を"
