image,raw_name,matched_name,match_score,comment_text,form,first_m,job
IMG_2565.PNG,JATLANTIC HALO,ATLANTIC HALO,0.96,戦車51.34MAエンジニア LT,戦,51.34,エンジニア
IMG_2564.PNG,JAyuMiN,AyuMiN,0.923,戦車64Mエンジニア,戦,64,エンジニア
IMG_2567.PNG,CHIKO un,CHIKO un,1.0,戦車 74M 指導者,戦,74,指導者
IMG_2564.PNG,JPaoETあつし,DaoETあつし,0.824,戦車64.11M私エンジニア,戦,64.11,エンジニア
IMG_2568.PNG,GOLDEN FREEZA,GOLDEN FREEZA,1.0,戦車57.66Mエンジニア A,戦,57.66,エンジニア
IMG_2570.PNG,GinjirouR,GinjirouR,1.0,71.3 ・エンジニア,,71.3,エンジニア
IMG_2572.PNG,HIDEGONDX,HIDEGONDx,1.0,70M/tengineer,,70,エンジニア
IMG_2564.PNG,JHirogeo 沢,Hirogeo R,0.824,戦車71.42m指導者,戦,71.42,指導者
IMG_2573.PNG,K18footballer,K18footballer,1.0,戦車51.71M私エンジニア AN,戦,51.71,エンジニア
IMG_2566.PNG,JK'auill,K’awiil,1.0,ロケラン 86.58M 戦争指導者,ロ,86.58,指導者
IMG_2564.PNG,Maーー,Maーー,1.0,航空77.30M 指導者です♥,航,77.3,指導者
IMG_2564.PNG,JOLDヤンガス,OLDヤンガス,0.933,戦車47.79Mエンジニア,戦,47.79,エンジニア
IMG_2571.PNG,PHL Pjia,PHL Pjia,1.0,51.78 tank engineer AN,戦,51.78,エンジニア
IMG_2565.PNG,Pe-suke.f,Pe-sukeR,0.857,ルシ戦車63.8Mエンジニア A2,戦,63.8,エンジニア
IMG_2569.PNG,JRAMETTE VU,Rameπ vu,1.0,ロケラン80M指導者,ロ,80,指導者
IMG_2569.PNG,Revo GARO,Revo GARO,1.0,ロケラン79.7指導者,ロ,79.7,指導者
IMG_2569.PNG,Revo nikoora,Revo nikoora,1.0,ロケラン66Mエンジニア .T,ロ,66,エンジニア
IMG_2568.PNG,RevoLove.7,RevoLoveR,0.889,航空77.37M 指導者,航,77.37,指導者
IMG_2571.PNG,RevosHoBo.f,RevoSHoBoR,1.0,HOB 戦車：71.1Mエンジニア,戦,71.1,エンジニア
IMG_2571.PNG,Ririco J,RiricoR,0.857,戦車：61.45M エンジニア AN,戦,61.45,エンジニア
IMG_2568.PNG,50L265,SOL265,1.0,マーフィー航空 69M エンジニア,航,69,エンジニア
IMG_2572.PNG,JTONKUN,TONKUN,1.0,戦車67.27m エンジニア,戦,67.27,エンジニア
IMG_2568.PNG,JWolveress23,Wolveress23,0.957,54M aircraft. Engineer,航,54,エンジニア
IMG_2565.PNG,jjiitan .918,ji i tan R18,0.842,戦車59.25エンジニア I,戦,59.25,エンジニア
IMG_2565.PNG,Jnaphtha Pho,naphtha PhD,0.857,航空72.93Mエンジニア,航,72.93,エンジニア
IMG_2568.PNG,jpecten,pecten,0.923,戦車45.4Mエンジニア,戦,45.4,エンジニア
IMG_2569.PNG,Jsakimaru,sakimaru,0.941,戦車64.85Mエンジニア,戦,64.85,エンジニア
IMG_2567.PNG,ssi103,ssi103,1.0,=87M指導者,,87,指導者
IMG_2565.PNG,jtorsoboyoo,torsoboy00,1.0,60.7 tank engineer I,戦,60.7,エンジニア
IMG_2574.PNG,juhats マイケル,whats マイケル,0.842,ピッタリ60M戦車エンジニア AN,戦,60,エンジニア
IMG_2566.PNG,あつないみ,あつないR,1.0,戦車62.62M engineer,戦,62.62,エンジニア
IMG_2567.PNG,かえるChan.2,かえるChanR,0.875,航空73.06指導者,航,73.06,指導者
IMG_2566.PNG,こうしゅう,こうしゅう,1.0,戦車54Mエンジニア A,戦,54,エンジニア
IMG_2569.PNG,ちゃっぴ chappi,ちゃっぴ chappi,1.0,戦車64.38M エンジニア 連盟玉相を獲得しました用,戦,64.38,エンジニア
IMG_2572.PNG,ちゅうちぇ,ちゅうちぇ,1.0,戦車57.9Mエンジニア,戦,57.9,エンジニア
IMG_2574.PNG,ふみっちゃん,ふみっちゃん,1.0,ルシウス戦車64.4M エンジニア A2,戦,64.4,エンジニア
IMG_2573.PNG,ぷるPuru,ぷるPuru,1.0,戦車58.7M指導 品,戦,58.7,
IMG_2566.PNG,レバブル子,まったり子,1.0,ロケラン77M指導者,ロ,77,指導者
IMG_2572.PNG,もこP,もこP,1.0,戦車63.78M エンジニア（シーズン,戦,63.78,エンジニア
IMG_2566.PNG,もる5,もるせら,1.0,アダスカ60.8m 指導者,戦,60.8,指導者
IMG_2565.PNG,カラトリ君,カラトリ君,1.0,戦車68.3指導者,戦,68.3,指導者
IMG_2564.PNG,ケロ丸園,ケロ丸,0.857,アダスカ57.06エンジニア I,戦,57.06,エンジニア
IMG_2572.PNG,ゾンビ屋響子,ゾンビ屋響子,1.0,戦車63.4mエンジニア,戦,63.4,エンジニア
IMG_2571.PNG,ツナ缶食べ隊,ツナ缶食べ隊,1.0,戦車53mエンジニア,戦,53,エンジニア
