issue,key,management_row,type,owner,expected,full_map,map_row,map_column,memo
owned_key_not_in_template,中央:中央-20-16,1994,漁場,BgNa,BgNa,,,,OCR IMG_0568.PNG / #8061 X:774 Y:24 Lv.5 / 中立/未登録 -> BgNa
owned_key_not_in_template,中央:中央-20-17,1774,漁場,DaNG,DaNG,,,,Dropbox赤字OCR IMG_1327.PNG / #8061 X:824 Y:24 Lv.5 漁場 / WbW -> DaNG
owned_key_not_in_template,中央:中央-20-18,1998,漁場,Digg,Digg,,,,Dropbox red OCR IMG_1921.PNG / #8061 X:874 Y:24 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-20-19,2001,漁場,CDf8,CDf8,,,,OCR IMG_0557.PNG / #8061 X:924 Y:24 Lv.5 / 中立/未登録 -> CDf8
owned_key_not_in_template,中央:中央-20-2,2070,漁場,WUG,WUG,,,,追加画像6/7: #8061 X:74 Y:24 Lv5（前回X174として誤読していた箇所を補正）
owned_key_not_in_template,中央:中央-20-20,1920,漁場,Digg,Digg,,,,Dropbox red OCR IMG_1921.PNG / #8061 X:974 Y:24 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-20-3,2073,漁場,476X,476X,,,,追加画像7: #8061 X:124 Y:24 Lv5
owned_key_not_in_template,中央:中央-20-4,2071,漁場,WUG,WUG,,,,追加画像1: #8061 X:174 Y:24 Lv5
owned_key_not_in_template,中央:中央-20-5,2068,漁場,NBNH,NBNH,,,,読取ログ画像4: #8061 X:224 Y:24 Lv5（時刻推定）
owned_key_not_in_template,中央:中央-20-6,2067,漁場,NBNH,NBNH,,,,読取ログ画像4: #8061 X:274 Y:24 Lv5
owned_key_not_in_template,中央:中央-20-7,2062,漁場,EDFS,EDFS,,,,Dropbox red OCR IMG_1917.PNG / #8061 X:324 Y:24 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-20-8,2059,漁場,JlZ,JlZ,,,,画像6: #8061 X:374 Y:24 Lv5（連盟名JlZは画像読取）
owned_key_not_in_template,中央:中央-20-9,1932,漁場,2N7,2N7,,,,手入力ログ 2026/05/25 01:36 / #8061 X:424 Y:24 Lv.5 漁場 / 中立/未登録 -> 2N7
owned_key_not_in_template,中央:中央-3-1,2136,漁場,476H,476H,,,,Dropbox赤字OCR IMG_1273.PNG / #8061 X:24 Y:874 Lv.5 漁場 / 中立/未登録 -> 476H / 画像内時刻で補正（23:51->23:46）
owned_key_not_in_template,中央:中央-3-10,1964,漁場,4tH,4tH,,,,赤字OCR IMG_0692.PNG / 中央 X:474 Y:874 Lv7 漁場 / 中立/未登録 -> 4tH
owned_key_not_in_template,中央:中央-3-11,1965,漁場,KTVS,KTVS,,,,赤字OCR IMG_0687.PNG / 中央 X:524 Y:874 Lv7 漁場 / 中立/未登録 -> KTVS / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-3-12,2037,漁場,476A,476A,,,,OCR IMG_0482.PNG / #8061 X:574 Y:874 Lv.7
owned_key_not_in_template,中央:中央-3-13,2034,漁場,BHE,BHE,,,,OCR IMG_0500.PNG / #8061 X:624 Y:874 Lv.7
owned_key_not_in_template,中央:中央-3-14,2030,漁場,476d,476d,,,,OCR IMG_0525.PNG / #8061 X:674 Y:874 Lv.7 / 中立/未登録 -> 476d
owned_key_not_in_template,中央:中央-3-15,2027,漁場,476d,476d,,,,OCR IMG_0527.PNG / #8061 X:724 Y:874 Lv.7 / 中立/未登録 -> 476d
owned_key_not_in_template,中央:中央-3-16,2002,漁場,AoW,AoW,,,,Dropbox red OCR IMG_1922.PNG / #8061 X:774 Y:874 Lv.7 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-3-17,2007,漁場,FHX,FHX,,,,OCR IMG_0550/0551.PNG / #8061 X:824 Y:874 Lv.7 / 中立/未登録 -> FHX
owned_key_not_in_template,中央:中央-3-18,1951,漁場,MOn,MOn,,,,赤字OCR IMG_0879.PNG / #8061 X:874 Y:874 Lv.7 / FHX -> MOn
owned_key_not_in_template,中央:中央-3-19,1958,漁場,SsQ,SsQ,,,,赤字OCR IMG_0753.PNG / #8061 X:924 Y:874 Lv.6 / SsQ -> SsQ
owned_key_not_in_template,中央:中央-3-20,2076,漁場,FHX,FHX,,,,追加OCR 2026/05/30 15:08 / #8061 X:974 Y:874 Lv.5 漁場 / TkTk -> FHX / 奪取
owned_key_not_in_template,中央:中央-3-3,1978,漁場,476C,476C,,,,赤字OCR IMG_0585.PNG / #8061 X:124 Y:874 Lv.7 / 中立/未登録 -> 476C
owned_key_not_in_template,中央:中央-3-4,2010,漁場,476Z,476Z,,,,Dropbox赤字OCR IMG_1488.PNG / #8061 X:174 Y:874 Lv.7 漁場 / 中立/未登録 -> 476Z
owned_key_not_in_template,中央:中央-3-5,2054,漁場,VEX,VEX,,,,追加OCR 2026/05/30 15:34 / #8061 X:224 Y:874 Lv.7 漁場 / 中立/放棄 -> VEX / 放棄日時をクリア
owned_key_not_in_template,中央:中央-3-6,1773,漁場,VEX,VEX,,,,追加OCR 2026/05/30 15:14 / #8061 X:274 Y:874 Lv.7 漁場 / 476Z -> VEX
owned_key_not_in_template,中央:中央-3-7,1771,漁場,VEX,VEX,,,,手入力ログ 2026/05/27 15:29 / #8061 X:324 Y:874 Lv.7 漁場 / 中立/放棄 -> VEX
owned_key_not_in_template,中央:中央-3-8,2051,漁場,476B,476B,,,,画像18: #8061 X:374 Y:874 Lv7
