server,gpt_video_destroy_unique_coords,sheet_city_rows,sheet_destroyed,video_destroy_not_marked_in_sheet,video_destroy_not_in_city_rows
#534,54,86,54,0,0
#509,79,86,77,2,0
#503,0,86,0,0,0
#480,52,86,48,4,0
#440,81,86,57,24,0
#511,80,86,77,2,1
#523,59,86,50,8,1
#476,4,86,4,0,0
