image,option,band,raw_name,matched_name,match_score,power_raw,total_m,name_conf,power_conf
IMG_2545.PNG,1,1_80M以上,K'auiil,K’awiil,1.0,478004046,478,0.30,0.50
IMG_2545.PNG,1,1_80M以上,RAMETI Vu,RAMETT vu,1.0,419730314,419.73,0.30,1.00
IMG_2545.PNG,1,1_80M以上,sSi103,ssi103,1.0,477785895,477.79,0.30,1.00
IMG_2545.PNG,1,1_80M以上,渋猫選手況,渋猫選手R,1.0,425934186,425.93,0.30,1.00
IMG_2546.PNG,2,2_75M以上〜80M未満,Maーー,Maーー,1.0,391062454,391.06,0.30,1.00
IMG_2547.PNG,2,2_75M以上〜80M未満,Revo GARO,Revo GARO,1.0,417993337,417.99,0.30,1.00
IMG_2546.PNG,2,2_75M以上〜80M未満,RevoLove！,RevoLoveR,1.0,382694533,382.69,0.50,1.00
IMG_2546.PNG,2,2_75M以上〜80M未満,レバブル子,まったり子,1.0,359897983,359.9,1.00,0.50
IMG_2546.PNG,2,2_75M以上〜80M未満,黒猫 nuda,黒猫 nuda,1.0,355479661,355.48,0.50,1.00
IMG_2549.PNG,3,3_70M以上〜75M未満,CHIKO un,CHIKO un,1.0,364241155,364.24,1.00,0.50
IMG_2548.PNG,3,3_70M以上〜75M未満,GinjirouR,GinjirouR,1.0,346428948,346.43,0.30,0.50
IMG_2549.PNG,3,3_70M以上〜75M未満,HIDEGONDX,HIDEGONDx,1.0,313891448,313.89,0.50,0.50
IMG_2549.PNG,3,3_70M以上〜75M未満,Hirogeo P,Hirogeo R,1.0,313210296,313.21,0.30,1.00
IMG_2548.PNG,3,3_70M以上〜75M未満,RevosHOBoRe,RevoSHoBoR,1.0,338215266,338.22,0.30,0.50
IMG_2548.PNG,3,3_70M以上〜75M未満,naphtha Pho,naphtha PhD,1.0,367867787,367.87,0.50,1.00
IMG_2549.PNG,3,3_70M以上〜75M未満,かえるchan！,かえるChanR,1.0,339015444,339.02,0.50,0.50
IMG_2548.PNG,3,3_70M以上〜75M未満,馬券師もつお,馬券師もつお,1.0,362438320,362.44,1.00,1.00
IMG_2550.PNG,4,4_65M以上〜70M未満,Revo nikoora,Revo nikoora,1.0,310401512,310.4,1.00,1.00
IMG_2550.PNG,4,4_65M以上〜70M未満,50L265,SOL265,1.0,348123502,348.12,0.30,1.00
IMG_2550.PNG,4,4_65M以上〜70M未満,TONKUN,TONKUN,1.0,348083042,348.08,1.00,1.00
