row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,sources
53,カラトリ君,282.52,269.88,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,66.6,66.6,指導者,指導者,True,IMG_8166.PNG
54,tama選手R,280.33,276.63,,7_58M以上〜60M未満,戦,戦,58.17,58.22,エンジニア,エンジニア,True,IMG_8173.PNG;IMG_8182.PNG
55,Revo nutswa,271.61,277.75,7_58M以上〜60M未満,6_60M以上〜62M未満,戦,戦,58,60,エンジニア,エンジニア,True,IMG_8171.PNG;IMG_8189.PNG
56,RiricoR,270.98,277.84,7_58M以上〜60M未満,6_60M以上〜62M未満,戦,戦,59.6,59.6,エンジニア,エンジニア,True,IMG_8171.PNG
57,ヤギサトツ,269.91,269.91,a_50M未満,a_50M未満,航,航,48.9,49.2,エンジニア,エンジニア,True,IMG_8180.PNG
58,Nikoruko,269.3,287.05,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,57.99,58.51,エンジニア,エンジニア,True,IMG_8174.PNG;IMG_8186.PNG
59,だあむ,269.29,263.11,,7_58M以上〜60M未満,ロ,航,61.76,59.39,エンジニア,エンジニア,True,IMG_8172.PNG;IMG_8173.PNG;IMG_8184.PNG
60,PRIUS A,268.63,288.51,,8_55M以上〜58M未満,,,,,,,True,IMG_8175.PNG
61,whats マイケル,268.5,266.94,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,57.32,57,エンジニア,エンジニア,True,IMG_8175.PNG;IMG_8186.PNG
62,Fateの晩风,268.03,268.03,7_58M以上〜60M未満,7_58M以上〜60M未満,航,航,59.64,59.64,エンジニア,エンジニア,False,IMG_8183.PNG
63,もこP,267.33,268.84,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,61.96,61.96,指導者,指導者,True,IMG_8169.PNG
67,kaaaaat,257.09,253.74,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,53.11,53.11,エンジニア,エンジニア,True,IMG_8178.PNG
69,RevoFuYuMin,256.6,272.56,,8_55M以上〜58M未満,,,,56,,,True,IMG_8176.PNG;IMG_8183.PNG
70,Shawawaga,255.97,263.31,,9_50M以上～55M未満,,,50.5,50.5,エンジニア,エンジニア,True,IMG_8178.PNG
71,Pe-sukeR,254.54,314.74,6_60M以上〜62M未満,5_62M以上〜65M未満,戦,戦,61.5,62.1,エンジニア,エンジニア,True,IMG_8168.PNG;IMG_8181.PNG
72,ケロ丸,253.69,276.11,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,56.05,56.63,エンジニア,エンジニア,True,IMG_8175.PNG;IMG_8182.PNG
74,三SUN SUN三,250.97,285.95,9_50M以上～55M未満,8_55M以上〜58M未満,戦,戦,55.69,56,エンジニア,エンジニア,True,IMG_8174.PNG;IMG_8185.PNG
75,LastかえるR,245.53,264.33,6_60M以上〜62M未満,6_60M以上〜62M未満,航,航,60.27,60.27,指導者,指導者,True,IMG_8170.PNG
76,ツナ缶食べ隊,240,253.86,,9_50M以上～55M未満,,戦,,53,,エンジニア,True,IMG_8179.PNG;IMG_8184.PNG
77,SÜPRĒMŌ,239.63,240.64,,9_50M以上～55M未満,戦,戦,50.5,50.5,エンジニア,エンジニア,True,IMG_8178.PNG;IMG_8179.PNG
82,PHL Pjia,232.33,252.5,,9_50M以上～55M未満,,,,,,,True,IMG_8179.PNG
85,ATLANTIC HALO,216.73,228.63,a_50M未満,9_50M以上～55M未満,戦,戦,49.8,49.8,エンジニア,エンジニア,True,IMG_8178.PNG
88,ぷるPuru,212.06,251.4,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,55.8,57.3,指導者,指導者,True,IMG_8177.PNG;IMG_8182.PNG
90,レッチャ,201.58,201.58,,,戦,戦,46.21,46.42,エンジニア,エンジニア,True,IMG_8188.PNG
93,pecten,178.49,178.49,a_50M未満,a_50M未満,戦,戦,44.4,44.7,エンジニア,エンジニア,True,IMG_8187.PNG
94,OLDヤンガス,177.14,177.14,a_50M未満,a_50M未満,戦,戦,46.17,46.63,エンジニア,エンジニア,True,IMG_8183.PNG
