row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
2,Revo GARO,390.85,388.33,2_75M以上〜80M未満,2_75M以上〜80M未満,ロ,ロ,76.57,76.57,指導者,指導者,True,True,,IMG_8199.PNG,frame_006.png,1.0,0.99,ロケラン76.57指導者
4,ssi103,411.51,421.48,1_80M以上,1_80M以上,航,,84,,指導者,,True,True,,IMG_8197.PNG,,0.99,,
5,K’awiil,430.2,438.8,1_80M以上,1_80M以上,航,航,85.58,86.26,指導者,指導者,True,True,,IMG_8197.PNG,frame_029.png,0.833,0.769,航空 86.26M 戦争指導者
6,RevoLoveR,352.45,396.05,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,75.63,76.31,指導者,指導者,True,True,large_total_delta,IMG_8198.PNG,frame_010.png,0.99,0.99,航空76.31MXt指導者 AN .I
7,naphtha PhD,370.2,368.35,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,70.89,70.89,エンジニア,エンジニア,True,True,,IMG_8200.PNG,frame_001.png,0.9,0.818,航空70.89Mエンジニア
8,Hirogeo R,347.45,347.49,3_70M以上〜75M未満,3_70M以上〜75M未満,戦,戦,69.09,70,指導者,指導者,True,True,,IMG_8201.PNG,frame_021.png,0.875,0.875,指導者 戦車70m
9,Revo Geruge,400.02,399.71,3_70M以上〜75M未満,3_70M以上〜75M未満,ロ,ロ,73.1,73.52,エンジニア,エンジニア,True,False,low_comment_match,IMG_8200.PNG,frame_031.png,1.0,0.741,ロケラン73.52Mエンジニア 19:01
10,BCCR,350.88,348.53,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,65.28,65.9,エンジニア,エンジニア,True,False,low_vote_match,IMG_8203.PNG,frame_027.png,0.667,0.817,BC（ 戦車ルシウス 65.9M ENGINEER
11,RAMETT vu,405.63,401.01,2_75M以上〜80M未満,2_75M以上〜80M未満,ロ,,76.61,,指導者,,True,True,,IMG_8199.PNG,,0.875,,
12,Maーー,394.47,394.51,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,75.85,75.85,指導者,指導者,True,True,,IMG_8198.PNG,frame_001.png,1.0,1.0,航空75.85M 指導者 AN LT
13,CHIKO un,362.76,359.88,3_70M以上〜75M未満,3_70M以上〜75M未満,戦,戦,72.6,72.6,指導者,指導者,True,True,,IMG_8201.PNG,frame_020.png,1.0,1.0,戦車72.6MA指導者 AN T
14,GinjirouR,326.09,328.9,3_70M以上〜75M未満,3_70M以上〜75M未満,航,,70,70,エンジニア,エンジニア,True,True,partial_comment_parse,IMG_8200.PNG,frame_018.png,1.0,1.0,本：70MAエンジニア AN 1
